route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,type
S3,Luzern,Altdorf Ur,night,Luzern → Altdorf Ur,CH,CH,31.16,night
IC2,Altdorf Ur,Zurich Hb,night,Altdorf Ur → Zurich Hb,CH,CH,56.29,night
S1,Altnau,Feuerthalen,night,Altnau → Feuerthalen,CH,CH,47.1,night
RE,Altnau,Konstanz,night,Altnau → Konstanz,CH,CH,7.83,night
SN,Kreuzlingen,Altnau,night,Kreuzlingen → Altnau,CH,CH,8.04,night
S1,Schaffhausen,Altnau,night,Schaffhausen → Altnau,CH,CH,48.18,night
S1,Stein Am Rhein,Altnau,night,Stein Am Rhein → Altnau,CH,CH,31.03,night
S2,Nesslau Neu St Johann,Altstatten Sg,night,Nesslau Neu St Johann → Altstatten Sg,CH,CH,31.64,night
S2,Altstatten Sg,Rorschach,night,Altstatten Sg → Rorschach,CH,CH,12.17,night
S13,Altstatten Sg,Sargans,night,Altstatten Sg → Sargans,CH,CH,37.56,night
S2,St Gallen,Altstatten Sg,night,St Gallen → Altstatten Sg,CH,CH,15.06,night
S13,St Margrethen Sg,Altstatten Sg,night,St Margrethen Sg → Altstatten Sg,CH,CH,10.72,night
S5,Weinfelden,Altstatten Sg,night,Weinfelden → Altstatten Sg,CH,CH,40.01,night
SN,Winterthur,Altstatten Sg,night,Winterthur → Altstatten Sg,CH,CH,64.18,night
S24,Gais,Altstatten Stadt,night,Gais → Altstatten Stadt,CH,CH,6.74,night
R,Filisur,Alvaneu,night,Filisur → Alvaneu,CH,CH,2.41,night
TER,Amberieu,Bourg En Bresse,night,Amberieu → Bourg En Bresse,CH,CH,29.06,night
TER,Chambery Challes Les Eaux,Amberieu,night,Chambery Challes les Eaux → Amberieu,CH,CH,61.8,night
TER,Amberieu,Lyon Part Dieu,night,Amberieu → Lyon Part Dieu,CH,CH,43.04,night
TER,Amberieu,Macon,night,Amberieu → Macon,CH,CH,55.61,night
TER,Amberieu,Saint Etienne Chateaucreux,night,Amberieu → Saint Etienne Chateaucreux,CH,CH,92.6,night
EXT,Ambri Piotta,Bellinzona,night,Ambri Piotta → Bellinzona,CH,CH,43.69,night
EXT,Ambri Piotta,Zurich Hb,night,Ambri Piotta → Zurich Hb,CH,CH,97.12,night
Amsterdam Centraal → Basel SBB,Amsterdam Centraal,Basel Sbb,night,Amsterdam Centraal → Basel Sbb,NL,CH,570.58,night
ICE 77,Amsterdam Centraal,Berlin Hbf,night,Amsterdam Centraal → Berlin,NL,DE,573.83,night
Amsterdam Centraal → Berlin Hbf (tief),Amsterdam Centraal,Berlin Hbf Tief,night,Amsterdam Centraal → Berlin,NL,DE,573.87,night
Berlin Ostbahnhof → Amsterdam Centraal,Berlin Ostbahnhof,Amsterdam Centraal,night,Berlin Ostbahnhof → Amsterdam Centraal,DE,NL,578.33,night
Amsterdam Centraal → Berlin-Spandau,Amsterdam Centraal,Berlin Spandau,night,Amsterdam Centraal → Berlin Spandau,NL,DE,562.17,night
Frankfurt(Main)Hbf → Amsterdam Centraal,Frankfurt Main Hbf,Amsterdam Centraal,night,Frankfurt Main → Amsterdam Centraal,DE,NL,363.9,night
Köln Hbf → Amsterdam Centraal,Koln Hbf,Amsterdam Centraal,night,Koln → Amsterdam Centraal,DE,NL,213.71,night
S12,Andelfingen,Schaffhausen,night,Andelfingen → Schaffhausen,CH,CH,12.11,night
S24,Andelfingen,Thalwil,night,Andelfingen → Thalwil,CH,CH,34.19,night
S24,Andelfingen,Zug,night,Andelfingen → Zug,CH,CH,48.29,night
S24,Zurich Hb,Andelfingen,night,Zurich Hb → Andelfingen,CH,CH,26.11,night
TER,Andelot,Dole,night,Andelot → Dole,CH,CH,42.25,night
TER,Andelot,Saint Claude,night,Andelot → Saint Claude,CH,CH,52.54,night
R,Brig Bahnhofplatz,Andermatt,night,Brig Bahnhofplatz → Andermatt,CH,CH,58.39,night
R,Andermatt,Disentis Muster,night,Andermatt → Disentis Muster,CH,CH,21.37,night
R,Andermatt,Goschenen,night,Andermatt → Goschenen,CH,CH,3.23,night
R,Oberwald,Andermatt,night,Oberwald → Andermatt,CH,CH,22.47,night
R,Andermatt,Realp,night,Andermatt → Realp,CH,CH,8.07,night
R,Visp,Andermatt,night,Visp → Andermatt,CH,CH,66.53,night
TER,Gare D Austerlitz,Angerville,night,D Austerlitz → Angerville,FR,FR,64.7,night
TER,Paris Austerlitz,Angerville,night,Paris Austerlitz → Angerville,FR,FR,64.66,night
TER,Annemasse,Annecy,night,Annemasse → Annecy,CH,CH,34.22,night
TER,Annecy,Avignon Centre,night,Annecy → Avignon Centre,CH,CH,241.38,night
TER,Annecy,Chambery Challes Les Eaux,night,Annecy → Chambery Challes les Eaux,CH,CH,39.96,night
TER,Annecy,Grenoble,night,Annecy → Grenoble,CH,CH,85.18,night
TER,La Roche Sur Foron,Annecy,night,la Roche Sur Foron → Annecy,CH,CH,23.14,night
TER,Annecy,Lyon Part Dieu,night,Annecy → Lyon Part Dieu,CH,CH,99.01,night
TGV,Paris Gare De Lyon,Annecy,night,Paris de Lyon → Annecy,CH,CH,431.99,night
TER,Annecy,St Gervais Les Bains Le Fayet,night,Annecy → St Gervais les Bains le Fayet,CH,CH,44.84,night
TER,Annecy,Valence,night,Annecy → Valence,CH,CH,144.67,night
TER,Bellegarde Sur Valserine,Annemasse,night,Bellegarde Sur Valserine → Annemasse,CH,CH,33.11,night
R,Annemasse,Coppet,night,Annemasse → Coppet,CH,CH,13.65,night
TER,Annemasse,Evian Les Bains,night,Annemasse → Evian les Bains,CH,CH,34.27,night
RE,Geneve,Annemasse,night,Geneve → Annemasse,CH,CH,7.33,night
R,Geneve Aeroport,Annemasse,night,Geneve Aeroport → Annemasse,CH,CH,10.26,night
R,Lancy Pont Rouge,Annemasse,night,Lancy Pont Rouge → Annemasse,CH,CH,8.71,night
RE,Lausanne,Annemasse,night,Lausanne → Annemasse,CH,CH,46.41,night
RE,Martigny,Annemasse,night,Martigny → Annemasse,CH,CH,65.74,night
TER,Annemasse,St Gervais Les Bains Le Fayet,night,Annemasse → St Gervais les Bains le Fayet,CH,CH,48.44,night
RE,Annemasse,St Maurice,night,Annemasse → St Maurice,CH,CH,58.95,night
TER,Annemasse,Thonon Les Bains,night,Annemasse → Thonon les Bains,CH,CH,26.68,night
R,Vernier,Annemasse,night,Vernier → Annemasse,CH,CH,11.22,night
RE,Villeneuve Vd,Annemasse,night,Villeneuve Vd → Annemasse,CH,CH,57.49,night
B,Antony,Orsay Ville,night,Antony → Orsay Ville,FR,FR,10.86,night
S23,Appenzell,Gossau Sg,night,Appenzell → Gossau Sg,CH,CH,14.99,night
S20,Appenzell,St Gallen,night,Appenzell → St Gallen,CH,CH,10.94,night
S21,Appenzell,Trogen,night,Appenzell → Trogen,CH,CH,9.59,night
R,Biere,Apples,night,Biere → Apples,CH,CH,6.79,night
R,Apples,L Isle,night,Apples → L Isle,CH,CH,7.44,night
S7,Arbon,Romanshorn,night,Arbon → Romanshorn,CH,CH,7.33,night
