route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km
K11,amiens,longueau,day,Amiens → Longueau,FR,FR,4.36
P20,amiens,tergnier,day,Amiens → Tergnier,FR,FR,75.54
NLAMA -> FRQBM,amsterdam centraal,bourg st maurice,day,Amsterdam Centraal → Bourg St Maurice,NL,FR,763.99
NLAMA -> FRMLV,amsterdam centraal,marne la vallee chessy,day,Amsterdam Centraal → Marne la Vallee Chessy,NL,FR,417.72
C4,ancenis,nantes,day,Ancenis → Nantes,FR,FR,32.25
C42,ancenis bis,savenay,day,Ancenis Bis → Savenay,FR,FR,58.25
S12,andelfingen,schaffhausen,day,Andelfingen → Schaffhausen,CH,CH,12.11
S24,andelfingen,thalwil,day,Andelfingen → Thalwil,CH,CH,34.19
S24,andelfingen,zug,day,Andelfingen → Zug,CH,CH,48.29
P18,andelot,dole,day,Andelot → Dole,FR,FR,42.25
TER,andelot,dole,day,Andelot → Dole,CH,CH,42.25
INCONNU,andelot,saint claude,day,Andelot → Saint Claude,FR,FR,52.43
TER,andelot,saint claude,day,Andelot → Saint Claude,CH,CH,52.54
R,andermatt,disentis muster,day,Andermatt → Disentis Muster,CH,CH,21.37
R,andermatt,goschenen,day,Andermatt → Goschenen,CH,CH,3.23
R,andermatt,realp,day,Andermatt → Realp,CH,CH,8.07
C20,angers saint laud,cholet,day,Angers Saint Laud → Cholet,FR,FR,50.26
P15,angers saint laud,le mans,day,Angers Saint Laud → le Mans,FR,FR,81.41
P5,angers saint laud,nantes,day,Angers Saint Laud → Nantes,FR,FR,79.16
P1,angers saint laud,saumur,day,Angers Saint Laud → Saumur,FR,FR,42.54
P65,angers saint laud,thouars,day,Angers Saint Laud → Thouars,FR,FR,59.41
L12+,angouleme,chatellerault,day,Angouleme → Chatellerault,FR,FR,132.88
L16,angouleme,la rochelle porte dauphine,day,Angouleme → la Rochelle Porte Dauphine,FR,FR,116.79
K23,annecy,aix les bains le revard,day,Annecy → Aix les Bains le Revard,FR,FR,28.93
TER,annecy,aix les bains le revard,day,Annecy → Aix les Bains le Revard,CH,CH,28.94
K21,annecy,avignon centre,day,Annecy → Avignon Centre,FR,FR,241.34
TER,annecy,avignon centre,day,Annecy → Avignon Centre,CH,CH,241.38
K21,annecy,chambery challes les eaux,day,Annecy → Chambery Challes les Eaux,FR,FR,39.99
TER,annecy,chambery challes les eaux,day,Annecy → Chambery Challes les Eaux,CH,CH,39.96
E04,annecy,chamonix mont blanc,day,Annecy → Chamonix Mont Blanc,FR,FR,58.21
L2,annecy,geneve cornavin,day,Annecy → Geneve Cornavin,FR,FR,34.3
K21,annecy,grenoble,day,Annecy → Grenoble,FR,FR,85.14
TER,annecy,grenoble,day,Annecy → Grenoble,CH,CH,85.18
L2,annecy,la roche sur foron,day,Annecy → la Roche Sur Foron,FR,FR,23.16
K23,annecy,lyon part dieu,day,Annecy → Lyon Part Dieu,FR,FR,99.06
TER,annecy,lyon part dieu,day,Annecy → Lyon Part Dieu,CH,CH,99.01
TER,annecy,st gervais les bains le fayet,day,Annecy → St Gervais les Bains le Fayet,CH,CH,44.84
TER,annecy,valence,day,Annecy → Valence,CH,CH,144.67
K21,annecy,valence ville,day,Annecy → Valence Ville,FR,FR,144.65
L2,annemasse,annecy,day,Annemasse → Annecy,FR,FR,34.21
TER,annemasse,annecy,day,Annemasse → Annecy,CH,CH,34.22
C43,annemasse,bellegarde,day,Annemasse → Bellegarde,FR,FR,33.34
E13,annemasse,chambery challes les eaux,day,Annemasse → Chambery Challes les Eaux,FR,FR,74.01
R,annemasse,coppet,day,Annemasse → Coppet,CH,CH,13.65
L1,annemasse,evian les bains,day,Annemasse → Evian les Bains,FR,FR,34.27
TER,annemasse,evian les bains,day,Annemasse → Evian les Bains,CH,CH,34.27
L7,annemasse,geneve aeroport,day,Annemasse → Geneve Aeroport,FR,FR,10.27
E02,annemasse,grenoble,day,Annemasse → Grenoble,FR,FR,119.04
C43,annemasse,saint gervais les bains le fayet,day,Annemasse → Saint Gervais les Bains le Fayet,FR,FR,48.45
TER,annemasse,st gervais les bains le fayet,day,Annemasse → St Gervais les Bains le Fayet,CH,CH,48.44
RE,annemasse,st maurice,day,Annemasse → St Maurice,CH,CH,58.95
TER,annemasse,thonon les bains,day,Annemasse → Thonon les Bains,CH,CH,26.68
L7,annemasse,vernier,day,Annemasse → Vernier,FR,FR,11.22
L4,annemasse salle martin luther king,geneve eaux vives gare,day,Annemasse Salle Martin Luther King → Geneve Eaux Vives,FR,FR,5.63
E06,annonay gare routiere,grenoble,day,Annonay → Grenoble,FR,FR,82.1
A03,annonay gare routiere,le peage de roussillon,day,Annonay → le Peage de Roussillon,FR,FR,17.35
E06,annonay gare routiere,saint martin d heres,day,Annonay → Saint Martin D Heres,FR,FR,86.37
C13,antibes,menton,day,Antibes → Menton,FR,FR,36.61
C3,antibes,ventimiglia,day,Antibes → Ventimiglia,FR,FR,45.63
S23,appenzell,gossau sg,day,Appenzell → Gossau Sg,CH,CH,14.99
S20,appenzell,st gallen,day,Appenzell → St Gallen,CH,CH,10.94
S21,appenzell,trogen,day,Appenzell → Trogen,CH,CH,9.59
R,apples,l isle,day,Apples → L Isle,CH,CH,7.44
S7,arbon,romanshorn,day,Arbon → Romanshorn,CH,CH,7.33
S7,arbon,rorschach,day,Arbon → Rorschach,CH,CH,6.5
F41+,arcachon,libourne,day,Arcachon → Libourne,FR,FR,78.68
INCONNU,arcachon,paris montparnasse hall 1 2,day,Arcachon → Paris Montparnasse Hall 1 2,FR,FR,535.39
K4,argentan,paris montparnasse vaugirard,day,Argentan → Paris Montparnasse Vaugirard,FR,FR,172.22
P81,argentine,saint pierre d albigny,day,Argentine → Saint Pierre D Albigny,FR,FR,14.06
P104,argenton sur creuse,chateauroux,day,Argenton Sur Creuse → Chateauroux,FR,FR,27.86
P104,argenton sur creuse,orleans,day,Argenton Sur Creuse → Orleans,FR,FR,149.16
P104,argenton sur creuse,vierzon,day,Argenton Sur Creuse → Vierzon,FR,FR,81.65
K7,arles,avignon centre,day,Arles → Avignon Centre,FR,FR,31.78
K7,arles,miramas,day,Arles → Miramas,FR,FR,31.76
TER,arles,valence,day,Arles → Valence,CH,CH,139.73
R,arosa,chur,day,Arosa → Chur,CH,CH,13.8
P22,arras,amiens,day,Arras → Amiens,FR,FR,55.51
K52,arras,bethune,day,Arras → Bethune,FR,FR,27.92
K92+,arras,calais frethun,day,Arras → Calais Frethun,FR,FR,96.72
P54,arras,calais ville,day,Arras → Calais Ville,FR,FR,99.0
K52,arras,dunkerque,day,Arras → Dunkerque,FR,FR,87.63
K52,arras,hazebrouck,day,Arras → Hazebrouck,FR,FR,51.57
261A,arras,paris gare du nord,day,Arras → Paris du Nord,FR,FR,159.42
P53,arras,saint pol sur ternoise,day,Arras → Saint Pol Sur Ternoise,FR,FR,33.0
RE,arth goldau,aarau,day,Arth Goldau → Aarau,CH,CH,53.52
