route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km
K24,lyon perrache,avignon centre,day,Lyon Perrache → Avignon Centre,FR,FR,200.89
TER,lyon perrache,belfort,day,Lyon Perrache → Belfort,CH,CH,260.49
K13,lyon perrache,belfort ville,day,Lyon Perrache → Belfort Ville,FR,FR,260.47
K13,lyon perrache,besancon viotte,day,Lyon Perrache → Besancon Viotte,FR,FR,190.12
TER,lyon perrache,besancon viotte,day,Lyon Perrache → Besancon Viotte,CH,CH,190.18
K33,lyon perrache,bourg en bresse,day,Lyon Perrache → Bourg En Bresse,FR,FR,58.54
TER,lyon perrache,bourg en bresse,day,Lyon Perrache → Bourg En Bresse,CH,CH,58.54
001A,lyon perrache,bruxelles midi,day,Lyon Perrache → Bruxelles Midi,FR,FR,566.86
INCONNU,lyon perrache,culmont chalindrey,day,Lyon Perrache → Culmont Chalindrey,FR,FR,234.02
TER,lyon perrache,dijon,day,Lyon Perrache → Dijon,CH,CH,175.75
C28,lyon perrache,firminy,day,Lyon Perrache → Firminy,FR,FR,57.77
TER,lyon perrache,firminy,day,Lyon Perrache → Firminy,CH,CH,57.73
TER,lyon perrache,givors,day,Lyon Perrache → Givors,CH,CH,18.73
C28,lyon perrache,givors ville,day,Lyon Perrache → Givors Ville,FR,FR,18.77
001A,lyon perrache,lille europe,day,Lyon Perrache → Lille Europe,FR,FR,559.06
TGV,lyon perrache,lille europe,day,Lyon Perrache → Lille Europe,CH,CH,559.04
001B,lyon perrache,lille flandres,day,Lyon Perrache → Lille Flandres,FR,FR,558.85
TGV,lyon perrache,lille flandres,day,Lyon Perrache → Lille Flandres,CH,CH,558.94
K13,lyon perrache,lons le saunier,day,Lyon Perrache → Lons le Saunier,FR,FR,116.54
TER,lyon perrache,lons le saunier,day,Lyon Perrache → Lons le Saunier,CH,CH,116.57
601B,lyon perrache,marne la vallee chessy,day,Lyon Perrache → Marne la Vallee Chessy,FR,FR,379.69
633C,lyon perrache,montpellier sud de france,day,Lyon Perrache → Montpellier Sud de France,FR,FR,249.83
P2,lyon perrache,moulins sur allier,day,Lyon Perrache → Moulins Sur Allier,FR,FR,145.9
TER,lyon perrache,moulins sur allier,day,Lyon Perrache → Moulins Sur Allier,CH,CH,145.85
P2,lyon perrache,nevers,day,Lyon Perrache → Nevers,FR,FR,188.38
TER,lyon perrache,nevers,day,Lyon Perrache → Nevers,CH,CH,188.43
P2,lyon perrache,paray le monial,day,Lyon Perrache → Paray le Monial,FR,FR,95.14
TER,lyon perrache,paray le monial,day,Lyon Perrache → Paray le Monial,CH,CH,95.12
TER,lyon perrache,paris bercy,day,Lyon Perrache → Paris Bercy,CH,CH,389.88
K7,lyon perrache,paris bercy bourg pays d auv,day,Lyon Perrache → Paris Bercy Bourg Pays D Auv,FR,FR,389.89
K7,lyon perrache,paris gare de lyon hall 1 2,day,Lyon Perrache → Paris de Lyon Hall 1 2,FR,FR,390.78
K2,lyon perrache,roanne,day,Lyon Perrache → Roanne,FR,FR,67.3
TER,lyon perrache,saint etienne chateaucreux,day,Lyon Perrache → Saint Etienne Chateaucreux,CH,CH,47.42
TER,lyon perrache,valence,day,Lyon Perrache → Valence,CH,CH,91.41
K44,lyon perrache,valence ville,day,Lyon Perrache → Valence Ville,FR,FR,91.38
601A,lyon perrache,versailles chantiers,day,Lyon Perrache → Versailles Chantiers,FR,FR,394.91
C24,lyon perrache,vienne,day,Lyon Perrache → Vienne,FR,FR,25.55
TER,lyon perrache,vienne,day,Lyon Perrache → Vienne,CH,CH,25.57
C19,lyon saint paul,charbonnieres les bains,day,Lyon Saint Paul → Charbonnieres les Bains,FR,FR,7.29
TER,lyon saint paul,charbonnieres les bains,day,Lyon Saint Paul → Charbonnieres les Bains,CH,CH,7.3
TER,lyon saint paul,l arbresle,day,Lyon Saint Paul → L Arbresle,CH,CH,17.81
TER,lyon saint paul,sain bel,day,Lyon Saint Paul → Sain Bel,CH,CH,18.19
C19,lyon saint paul,tassin,day,Lyon Saint Paul → Tassin,FR,FR,5.33
TER,lyon saint paul,tassin,day,Lyon Saint Paul → Tassin,CH,CH,5.32
C9,lyon saint paul quai de bondy,brignais,day,Lyon Saint Paul Quai de Bondy → Brignais,FR,FR,11.5
C29,lyon saint paul quai de bondy,lozanne,day,Lyon Saint Paul Quai de Bondy → Lozanne,FR,FR,14.98
C19,lyon saint paul quai de bondy,sain bel,day,Lyon Saint Paul Quai de Bondy → Sain Bel,FR,FR,18.29
C23,lyon vaise,bourg en bresse,day,Lyon Vaise → Bourg En Bresse,FR,FR,56.5
C23,lyon vaise,villars les dombes,day,Lyon Vaise → Villars les Dombes,FR,FR,30.4
S3,lyss,bern,day,Lyss → Bern,CH,CH,17.39
S35,lyss,kerzers,day,Lyss → Kerzers,CH,CH,14.17
F42,macau,bordeaux saint jean,day,Macau → Bordeaux Saint Jean,FR,FR,20.44
P13,macon,amberieu en bugey,day,Macon → Amberieu En Bugey,FR,FR,55.61
K7,macon,dijon,day,Macon → Dijon,FR,FR,114.55
TER,macon,dijon,day,Macon → Dijon,CH,CH,114.45
C15,macon,lyon part dieu,day,Macon → Lyon Part Dieu,FR,FR,60.32
TER,macon,lyon part dieu,day,Macon → Lyon Part Dieu,CH,CH,60.37
C15,macon,lyon part dieu gare routiere,day,Macon → Lyon Part Dieu,FR,FR,60.28
C15,macon,lyon perrache,day,Macon → Lyon Perrache,FR,FR,61.61
TER,macon,lyon perrache,day,Macon → Lyon Perrache,CH,CH,61.67
TER,macon,paris bercy,day,Macon → Paris Bercy,CH,CH,336.25
K7,macon,paris bercy bourg pays d auv,day,Macon → Paris Bercy Bourg Pays D Auv,FR,FR,336.3
TER,macon,paris gare de lyon,day,Macon → Paris de Lyon,CH,CH,337.13
K7,macon,paris gare de lyon hall 1 2,day,Macon → Paris de Lyon Hall 1 2,FR,FR,337.21
TER,macon,valence,day,Macon → Valence,CH,CH,153.02
K64,macon,valence ville,day,Macon → Valence Ville,FR,FR,152.93
C24,macon,vienne,day,Macon → Vienne,FR,FR,86.97
TER,macon,vienne,day,Macon → Vienne,CH,CH,87.03
F37,mainz hbf,wissembourg,day,Mainz → Wissembourg,FR,FR,110.06
R,malleray bevilard,sonceboz sombeval,day,Malleray Bevilard → Sonceboz Sombeval,CH,CH,9.43
RE,malters,bern,day,Malters → Bern,CH,CH,57.22
RE,malters,langnau i e,day,Malters → Langnau I E,CH,CH,32.13
C2,mantes la jolie,evreux normandie,day,Mantes la Jolie → Evreux Normandie,FR,FR,40.52
P64,marle sur serre,hirson,day,Marle Sur Serre → Hirson,FR,FR,29.25
P64,marle sur serre,hirson ecoles,day,Marle Sur Serre → Hirson Ecoles,FR,FR,30.39
F44,marmande,langon,day,Marmande → Langon,FR,FR,34.08
621B,marne la vallee chessy,annecy,day,Marne la Vallee Chessy → Annecy,FR,FR,414.77
612E,marne la vallee chessy,lausanne,day,Marne la Vallee Chessy → Lausanne,FR,FR,388.94
533A,marne la vallee chessy,lille flandres,day,Marne la Vallee Chessy → Lille Flandres,FR,FR,197.53
633A,marne la vallee chessy,marseille saint charles,day,Marne la Vallee Chessy → Marseille Saint Charles,FR,FR,650.55
631C,marne la vallee chessy,perpignan,day,Marne la Vallee Chessy → Perpignan,FR,FR,686.54
S10,maroggia melano,airolo,day,Maroggia Melano → Airolo,CH,CH,71.89
001B,marseille saint charles,aeroport charles de gaulle 2 tgv,day,Marseille Saint Charles → Aeroport Charles de Gaulle 2 Tgv,FR,FR,669.72
TGV,marseille saint charles,aeroport charles de gaulle tgv,day,Marseille Saint Charles → Aeroport Charles de Gaulle Tgv,CH,CH,669.67
C5,marseille saint charles,aubagne,day,Marseille Saint Charles → Aubagne,FR,FR,15.06
K7,marseille saint charles,avignon centre,day,Marseille Saint Charles → Avignon Centre,FR,FR,84.83
C7,marseille saint charles,avignon tgv,day,Marseille Saint Charles → Avignon Tgv,FR,FR,83.85
K2,marseille saint charles,briancon,day,Marseille Saint Charles → Briancon,FR,FR,202.85
671A,marseille saint charles,francfort sur le main,day,Marseille Saint Charles → Francfort Sur le Main,FR,FR,796.75
K2,marseille saint charles,gap,day,Marseille Saint Charles → Gap,FR,FR,151.17
632A,marseille saint charles,geneve cornavin,day,Marseille Saint Charles → Geneve Cornavin,FR,FR,328.85
632A,marseille saint charles,lausanne,day,Marseille Saint Charles → Lausanne,FR,FR,370.66
081C,marseille saint charles,lyon part dieu,day,Marseille Saint Charles → Lyon Part Dieu,FR,FR,276.41
K7,marseille saint charles,miramas,day,Marseille Saint Charles → Miramas,FR,FR,43.61
TGV,marseille saint charles,nancy,day,Marseille Saint Charles → Nancy,CH,CH,602.0
631B,marseille saint charles,paris gare de lyon hall 1 2,day,Marseille Saint Charles → Paris de Lyon Hall 1 2,FR,FR,658.34
631B,marseille saint charles,paris montparnasse hall 1 2,day,Marseille Saint Charles → Paris Montparnasse Hall 1 2,FR,FR,659.4
071A,marseille saint charles,strasbourg,day,Marseille Saint Charles → Strasbourg,FR,FR,614.84
533A,marseille saint charles,tourcoing,day,Marseille Saint Charles → Tourcoing,FR,FR,841.2
K34,marseille saint charles,valence ville,day,Marseille Saint Charles → Valence Ville,FR,FR,184.87
RE,martigny,annemasse,day,Martigny → Annemasse,CH,CH,65.74
R,martigny,finhaut,day,Martigny → Finhaut,CH,CH,8.36
RE,martigny,geneve,day,Martigny → Geneve,CH,CH,73.07
RE,martigny,geneve aeroport,day,Martigny → Geneve Aeroport,CH,CH,75.8
R,martigny,monthey,day,Martigny → Monthey,CH,CH,19.2
RE,martigny,nyon,day,Martigny → Nyon,CH,CH,71.86
INCONNU,martigny,vallorcine,day,Martigny → Vallorcine,FR,FR,13.93
R,martigny,vallorcine f,day,Martigny → Vallorcine F,CH,CH,13.79
P851,martigny les bains thiebaut,nancy,day,Martigny les Bains Thiebaut → Nancy,FR,FR,70.05
C4,martigues,miramas,day,Martigues → Miramas,FR,FR,20.99
P20,marvejols,la bastide st laurent les b,day,Marvejols → la Bastide St Laurent les B,FR,FR,49.66
P19,marvejols,mende,day,Marvejols → Mende,FR,FR,17.68
P20,marvejols,nimes centre,day,Marvejols → Nimes Centre,FR,FR,117.28
P120,marvejols place du chayla,la bastide st laurent les b,day,Marvejols Place du Chayla → la Bastide St Laurent les B,FR,FR,48.53
P120,marvejols place du chayla,mende,day,Marvejols Place du Chayla → Mende,FR,FR,16.86
R,matten b interlaken,grindelwald terminal,day,Matten B Interlaken → Grindelwald Terminal,CH,CH,12.27
K60,maubeuge,aulnoye aymeries,day,Maubeuge → Aulnoye Aymeries,FR,FR,12.15
P62,maubeuge,busigny,day,Maubeuge → Busigny,FR,FR,45.25
K60,maubeuge,valenciennes,day,Maubeuge → Valenciennes,FR,FR,33.46
P10,mazamet,saint sulpice,day,Mazamet → Saint Sulpice,FR,FR,63.8
P10,mazamet,toulouse matabiau,day,Mazamet → Toulouse Matabiau,FR,FR,75.29
S16,meilen,zurich flughafen,day,Meilen → Zurich Flughafen,CH,CH,21.01
S16,meilen,zurich hb,day,Meilen → Zurich Hb,CH,CH,14.38
IR,meiringen,interlaken ost,day,Meiringen → Interlaken Ost,CH,CH,24.38
PE,meiringen,luzern,day,Meiringen → Luzern,CH,CH,37.15
S10,melide,airolo,day,Melide → Airolo,CH,CH,68.74
S10,melide,biasca,day,Melide → Biasca,CH,CH,44.11
P816,menchhoffen abri,haguenau arret ritmo moulin neuf,day,Menchhoffen Abri → Haguenau Arret Ritmo Moulin Neuf,FR,FR,21.33
K150,mende,clermont ferrand,day,Mende → Clermont Ferrand,FR,FR,143.23
P7,mende,la bastide st laurent les b,day,Mende → la Bastide St Laurent les B,FR,FR,32.84
P7,mende,nimes centre,day,Mende → Nimes Centre,FR,FR,103.12
P7,mende,saint chely d apcher,day,Mende → Saint Chely D Apcher,FR,FR,36.05
S10,mendrisio,airolo,day,Mendrisio → Airolo,CH,CH,78.56
IC21,mendrisio,basel sbb,day,Mendrisio → Basel Sbb,CH,CH,214.57
S50,mendrisio,busto arsizio,day,Mendrisio → Busto Arsizio,CH,CH,29.49
S10,mendrisio,como camerlata,day,Mendrisio → Como Camerlata,CH,CH,12.23
S40,mendrisio,gallarate,day,Mendrisio → Gallarate,CH,CH,27.15
RE,mendrisio,giubiasco,day,Mendrisio → Giubiasco,CH,CH,33.94
RE,mendrisio,lugano,day,Mendrisio → Lugano,CH,CH,15.36
S50,mendrisio,malpensa aeroporto t1,day,Mendrisio → Malpensa Aeroporto T1,CH,CH,33.97
S50,mendrisio,malpensa aeroporto t2,day,Mendrisio → Malpensa Aeroporto T2,CH,CH,31.55
S,mendrisio,milano porta garibaldi,day,Mendrisio → Milano Porta Garibaldi,CH,CH,45.74
S,mendrisio,rho,day,Mendrisio → Rho,CH,CH,38.71
S40,mendrisio,stabio,day,Mendrisio → Stabio,CH,CH,3.44
S10,mendrisio,taverne torricella,day,Mendrisio → Taverne Torricella,CH,CH,21.19
S40,mendrisio,varese,day,Mendrisio → Varese,CH,CH,12.7
IC2,mendrisio,zurich hb,day,Mendrisio → Zurich Hb,CH,CH,171.11
C3,menton,cannes,day,Menton → Cannes,FR,FR,45.3
C13,menton,cannes la bocca,day,Menton → Cannes la Bocca,FR,FR,47.85
C3,menton,grasse,day,Menton → Grasse,FR,FR,47.57
C3,menton,ventimiglia,day,Menton → Ventimiglia,FR,FR,9.61
C2,messac guipry,rennes,day,Messac Guipry → Rennes,FR,FR,33.1
P55,metz,bar le duc,day,Metz → Bar le Duc,FR,FR,82.68
P55,metz,chalons en champagne,day,Metz → Chalons En Champagne,FR,FR,134.39
P55,metz,epernay,day,Metz → Epernay,FR,FR,161.64
K839,metz,longwy,day,Metz → Longwy,FR,FR,53.72
C40+,metz,luxembourg,day,Metz → Luxembourg,FR,FR,54.6
C50+,metz,luxembourg gare,day,Metz → Luxembourg,FR,FR,54.48
071A,metz,marseille saint charles,day,Metz → Marseille Saint Charles,FR,FR,648.58
803A,metz,paris est,day,Metz → Paris Est,FR,FR,279.78
C52,metz,sarrebruck,day,Metz → Sarrebruck,FR,FR,60.95
P51,metz,treves,day,Metz → Treves,FR,FR,79.76
P57,metz,verdun,day,Metz → Verdun,FR,FR,58.34
TER,metz ville,bar le duc,day,Metz Ville → Bar le Duc,CH,CH,82.7
TER,metz ville,bening les saint avold,day,Metz Ville → Bening les Saint Avold,CH,CH,47.5
TER,metz ville,conflans jarny,day,Metz Ville → Conflans Jarny,CH,CH,23.4
TER,metz ville,epernay,day,Metz Ville → Epernay,CH,CH,161.66
TGV,metz ville,marseille saint charles,day,Metz Ville → Marseille Saint Charles,CH,CH,648.44
TER,metz ville,thionville,day,Metz Ville → Thionville,CH,CH,24.96
P15,metzeral,colmar,day,Metzeral → Colmar,FR,FR,21.47
TER,metzeral,colmar,day,Metzeral → Colmar,CH,CH,21.34
L27,meymac,brive la gaillarde,day,Meymac → Brive la Gaillarde,FR,FR,65.03
L26,meymac,limoges benedictins,day,Meymac → Limoges Benedictins,FR,FR,77.51
L32,meymac,perigueux,day,Meymac → Perigueux,FR,FR,119.98
L27,meymac,ussel,day,Meymac → Ussel,FR,FR,12.1
L24,mignaloux nouaille,poitiers,day,Mignaloux Nouaille → Poitiers,FR,FR,8.66
RE,milano centrale,bellinzona,day,Milano Centrale → Bellinzona,CH,CH,79.92
RE,milano centrale,cadenazzo,day,Milano Centrale → Cadenazzo,CH,CH,76.76
RE,milano centrale,locarno,day,Milano Centrale → Locarno,CH,CH,82.36
RE,milano centrale,lugano,day,Milano Centrale → Lugano,CH,CH,61.01
RE,milano centrale,mendrisio,day,Milano Centrale → Mendrisio,CH,CH,45.97
S,milano porta garibaldi,chiasso,day,Milano Porta Garibaldi → Chiasso,CH,CH,40.52
641A,milano porta garibaldi,marne la vallee chessy,day,Milano Porta Garibaldi → Marne la Vallee Chessy,FR,FR,612.86
641A,milano porta garibaldi,paris gare de lyon hall 1 2,day,Milano Porta Garibaldi → Paris de Lyon Hall 1 2,FR,FR,635.98
P9,millau,beziers,day,Millau → Beziers,FR,FR,85.97
P29,millau,rodez,day,Millau → Rodez,FR,FR,48.86
P9,millau,saint chely d apcher,day,Millau → Saint Chely D Apcher,FR,FR,79.32
631D,miramas,marne la vallee chessy,day,Miramas → Marne la Vallee Chessy,FR,FR,612.28
P851,mirecourt,contrexeville centre,day,Mirecourt → Contrexeville Centre,FR,FR,21.62
P851,mirecourt,nancy,day,Mirecourt → Nancy,FR,FR,43.56
P851,mirecourt lycee agricole,nancy,day,Mirecourt Lycee Agricole → Nancy,FR,FR,44.17
081G,modane,brest,day,Modane → Brest,FR,FR,918.33
E08,modane,grenoble,day,Modane → Grenoble,FR,FR,74.03
001G,modane,lille flandres,day,Modane → Lille Flandres,FR,FR,661.51
TGV,modane,paris gare de lyon,day,Modane → Paris de Lyon,CH,CH,519.79
621G,modane,paris gare de lyon hall 1 2,day,Modane → Paris de Lyon Hall 1 2,FR,FR,519.82
081G,modane,rennes,day,Modane → Rennes,FR,FR,713.04
TGV,modane,rennes,day,Modane → Rennes,CH,CH,712.98
C24+,molsheim,saales,day,Molsheim → Saales,FR,FR,35.69
C24+,molsheim,saint die des vosges,day,Molsheim → Saint Die des Vosges,FR,FR,49.63
P815,mommenheim,ettendorf rue du pont,day,Mommenheim → Ettendorf Rue du Pont,FR,FR,7.7
P34,mommenheim,sarreguemines,day,Mommenheim → Sarreguemines,FR,FR,57.3
C33,mommenheim,strasbourg,day,Mommenheim → Strasbourg,FR,FR,20.15
TER,mommenheim,strasbourg,day,Mommenheim → Strasbourg,CH,CH,20.19
C13,monaco monte carlo,nice ville,day,Monaco Monte Carlo → Nice Ville,FR,FR,13.23
C3,monaco monte carlo,ventimiglia,day,Monaco Monte Carlo → Ventimiglia,FR,FR,16.44
L34,monsempron libos,agen,day,Monsempron Libos → Agen,FR,FR,40.1
L34,monsempron libos,perigueux,day,Monsempron Libos → Perigueux,FR,FR,80.1
D45,mont de marsan,bordeaux saint jean,day,Mont de Marsan → Bordeaux Saint Jean,FR,FR,104.71
L45,mont de marsan,morcenx,day,Mont de Marsan → Morcenx,FR,FR,36.32
C5,montauban de bretagne,rennes,day,Montauban de Bretagne → Rennes,FR,FR,29.79
P160,montauban prax paris,auch,day,Montauban Prax Paris → Auch,FR,FR,73.65
K11,montauban ville bourbon,agen,day,Montauban Ville Bourbon → Agen,FR,FR,61.43
K1,montauban ville bourbon,cahors,day,Montauban Ville Bourbon → Cahors,FR,FR,48.9
S50,montbovon,allieres,day,Montbovon → Allieres,CH,CH,3.14
S50,montbovon,chateau d oex,day,Montbovon → Chateau D Oex,CH,CH,6.94
S50,montbovon,gstaad,day,Montbovon → Gstaad,CH,CH,18.59
R,montbovon,zweisimmen,day,Montbovon → Zweisimmen,CH,CH,26.56
TER,montbrison,saint etienne chateaucreux,day,Montbrison → Saint Etienne Chateaucreux,CH,CH,30.76
P70,montbrison,st etienne chatcrx g routiere,day,Montbrison → St Etienne Chatcrx G,FR,FR,30.93
P30,montchanin,chalon sur saone,day,Montchanin → Chalon Sur Saone,FR,FR,27.68
TER,montchanin,chalon sur saone,day,Montchanin → Chalon Sur Saone,CH,CH,27.67
TER,montchanin,clermont ferrand,day,Montchanin → Clermont Ferrand,CH,CH,152.15
P16,montchanin,etang sur arroux,day,Montchanin → Etang Sur Arroux,FR,FR,25.67
TER,montchanin,nevers,day,Montchanin → Nevers,CH,CH,104.34
E07,montelimar gare routiere,saint martin d heres,day,Montelimar → Saint Martin D Heres,FR,FR,107.1
P15,montereau,avallon,day,Montereau → Avallon,FR,FR,121.99
TER,montereau,avallon,day,Montereau → Avallon,CH,CH,121.96
P15,montereau,clamecy,day,Montereau → Clamecy,FR,FR,110.29
TER,montereau,clamecy,day,Montereau → Clamecy,CH,CH,110.22
P35,montereau,laroche migennes,day,Montereau → Laroche Migennes,FR,FR,62.91
R,monthey,brig,day,Monthey → Brig,CH,CH,79.68
R,monthey,sion,day,Monthey → Sion,CH,CH,31.22
R,monthey,st gingolph suisse,day,Monthey → St Gingolph Suisse,CH,CH,19.02
R,monthey,st maurice,day,Monthey → St Maurice,CH,CH,5.66
R,monthey ville,champery,day,Monthey Ville → Champery,CH,CH,10.56
P32,montlucon,bourges,day,Montlucon → Bourges,FR,FR,85.46
TER,montlucon,bourges,day,Montlucon → Bourges,CH,CH,85.51
P22,montlucon,clermont ferrand,day,Montlucon → Clermont Ferrand,FR,FR,73.35
L25,montlucon,gueret,day,Montlucon → Gueret,FR,FR,58.06
P23,montlucon,urcay hotel du lyon d or,day,Montlucon → Urcay Hotel du Lyon D Or,FR,FR,32.11
P62,montlucon,vichy,day,Montlucon → Vichy,FR,FR,68.33
P42,montlucon,vierzon,day,Montlucon → Vierzon,FR,FR,106.89
TER,montlucon,vierzon,day,Montlucon → Vierzon,CH,CH,106.94
P31,montmelian,epierre saint leger,day,Montmelian → Epierre Saint Leger,FR,FR,20.1
L24,montmorillon,poitiers,day,Montmorillon → Poitiers,FR,FR,45.25
K8,montpellier saint roch,beziers,day,Montpellier Saint Roch → Beziers,FR,FR,61.18
001B,montpellier saint roch,lille flandres,day,Montpellier Saint Roch → Lille Flandres,FR,FR,784.29
TGV,montpellier saint roch,lille flandres,day,Montpellier Saint Roch → Lille Flandres,CH,CH,784.41
C10,montpellier saint roch,lunel,day,Montpellier Saint Roch → Lunel,FR,FR,21.79
041G,montpellier saint roch,lyon part dieu,day,Montpellier Saint Roch → Lyon Part Dieu,FR,FR,251.89
K9,montpellier saint roch,marseille saint charles,day,Montpellier Saint Roch → Marseille Saint Charles,FR,FR,125.63
071B,montpellier saint roch,metz,day,Montpellier Saint Roch → Metz,FR,FR,636.88
TGV,montpellier saint roch,metz ville,day,Montpellier Saint Roch → Metz Ville,CH,CH,636.9
C9,montpellier saint roch,narbonne,day,Montpellier Saint Roch → Narbonne,FR,FR,84.37
C8,montpellier saint roch,nimes centre,day,Montpellier Saint Roch → Nimes Centre,FR,FR,46.48
TGV,montpellier saint roch,paris gare de lyon,day,Montpellier Saint Roch → Paris de Lyon,CH,CH,594.08
P9,montpellier saint roch,saint chely d apcher,day,Montpellier Saint Roch → Saint Chely D Apcher,FR,FR,141.7
C10,montpellier saint roch,sete,day,Montpellier Saint Roch → Sete,FR,FR,26.01
633C,montpellier sud de france,aeroport charles de gaulle 2 tgv,day,Montpellier Sud de France → Aeroport Charles de Gaulle 2 Tgv,FR,FR,610.29
TGV,montpellier sud de france,lille europe,day,Montpellier Sud de France → Lille Europe,CH,CH,785.88
533A,montpellier sud de france,lille flandres,day,Montpellier Sud de France → Lille Flandres,FR,FR,785.62
TGV,montpellier sud de france,lyon part dieu,day,Montpellier Sud de France → Lyon Part Dieu,CH,CH,251.9
TGV,montpellier sud de france,paris gare de lyon,day,Montpellier Sud de France → Paris de Lyon,CH,CH,595.76
631C,montpellier sud de france,paris gare de lyon hall 1 2,day,Montpellier Sud de France → Paris de Lyon Hall 1 2,FR,FR,595.78
C3,montreuil sur ille,rennes,day,Montreuil Sur Ille → Rennes,FR,FR,22.66
R,montreux,chamby,day,Montreux → Chamby,CH,CH,1.51
R,montreux,chateau d oex,day,Montreux → Chateau D Oex,CH,CH,17.47
R,montreux,glion,day,Montreux → Glion,CH,CH,1.19
R,montreux,rochers de naye,day,Montreux → Rochers de Naye,CH,CH,5.28
R,montreux,zweisimmen,day,Montreux → Zweisimmen,CH,CH,37.88
E15,morez lycee,lyon part dieu gare routiere,day,Morez Lycee → Lyon Part Dieu,FR,FR,122.86
RE,morges,coppet,day,Morges → Coppet,CH,CH,31.86
RE,morges,geneve,day,Morges → Geneve,CH,CH,42.98
P834,morhange,remilly,day,Morhange → Remilly,FR,FR,21.1
P835,morhange,sarrebourg,day,Morhange → Sarrebourg,FR,FR,36.31
P1,morlaix,brest,day,Morlaix → Brest,FR,FR,52.23
P29,morteau,besancon viotte,day,Morteau → Besancon Viotte,FR,FR,49.04
TER,morteau,besancon viotte,day,Morteau → Besancon Viotte,CH,CH,49.05
P29,morteau,le valdahon,day,Morteau → le Valdahon,FR,FR,22.56
EXT,morteratsch,st moritz,day,Morteratsch → St Moritz,CH,CH,8.94
P73,mouchard,besancon viotte,day,Mouchard → Besancon Viotte,FR,FR,34.43
TER,mouchard,besancon viotte,day,Mouchard → Besancon Viotte,CH,CH,34.47
INCONNU,mouchard,dole,day,Mouchard → Dole,FR,FR,27.09
P73,mouchard,lons le saunier,day,Mouchard → Lons le Saunier,FR,FR,39.15
P73,mouchard,poligny,day,Mouchard → Poligny,FR,FR,16.57
P8,mouchard,saint claude,day,Mouchard → Saint Claude,FR,FR,65.42
C71,moulins sur allier,brioude,day,Moulins Sur Allier → Brioude,FR,FR,140.23
TER,moulins sur allier,brioude,day,Moulins Sur Allier → Brioude,CH,CH,140.21
C2,moulins sur allier,clermont ferrand,day,Moulins Sur Allier → Clermont Ferrand,FR,FR,88.92
TER,moulins sur allier,clermont ferrand,day,Moulins Sur Allier → Clermont Ferrand,CH,CH,88.93
C2,moulins sur allier,montchanin,day,Moulins Sur Allier → Montchanin,FR,FR,89.94
TER,moulins sur allier,nevers,day,Moulins Sur Allier → Nevers,CH,CH,49.56
P72,moulins sur allier,paray le monial,day,Moulins Sur Allier → Paray le Monial,FR,FR,60.65
C71,moulins sur allier,vic le comte,day,Moulins Sur Allier → Vic le Comte,FR,FR,100.2
TER,moulins sur allier,vic le comte,day,Moulins Sur Allier → Vic le Comte,CH,CH,100.19
C2,moulins sur allier,vichy,day,Moulins Sur Allier → Vichy,FR,FR,48.81
TER,moutiers salins brides les bai,chambery challes les eaux,day,Moutiers Salins Brides les Bai → Chambery Challes les Eaux,CH,CH,48.57
P11,muellheim baden,mulhouse,day,Muellheim Baden → Mulhouse,FR,FR,20.57
K12,mulhouse,basel sbb,day,Mulhouse → Basel Sbb,FR,FR,28.5
C20+,mulhouse,colmar,day,Mulhouse → Colmar,FR,FR,36.79
TER,mulhouse,colmar,day,Mulhouse → Colmar,CH,CH,36.75
P14,mulhouse,kruth,day,Mulhouse → Kruth,FR,FR,34.44
TER,mulhouse,kruth,day,Mulhouse → Kruth,CH,CH,34.49
611B,mulhouse,marne la vallee chessy,day,Mulhouse → Marne la Vallee Chessy,FR,FR,359.77
K4,mulhouse,paris est,day,Mulhouse → Paris Est,FR,FR,389.53
TER,mulhouse,paris est,day,Mulhouse → Paris Est,CH,CH,389.51
TGV,mulhouse,paris gare de lyon,day,Mulhouse → Paris de Lyon,CH,CH,387.43
611B,mulhouse,paris gare de lyon hall 1 2,day,Mulhouse → Paris de Lyon Hall 1 2,FR,FR,387.46
C12,mulhouse,saint louis,day,Mulhouse → Saint Louis,FR,FR,23.24
C20+,mulhouse,strasbourg,day,Mulhouse → Strasbourg,FR,FR,98.05
P14,mulhouse,thann,day,Mulhouse → Thann,FR,FR,19.12
TER,mulhouse,thann,day,Mulhouse → Thann,CH,CH,19.15
TER,mulhouse,thann saint jacques,day,Mulhouse → Thann Saint Jacques,CH,CH,20.26
P14,mulhouse,wesserling,day,Mulhouse → Wesserling,FR,FR,30.55
TER,mulhouse,wesserling,day,Mulhouse → Wesserling,CH,CH,30.6
TGV,mulhouse,zurich hb,day,Mulhouse → Zurich Hb,CH,CH,98.52
T3,mulhouse gare centrale,lutterbach tram train,day,Mulhouse Centrale → Lutterbach Tram Train,FR,FR,5.25
T14,mulhouse gare centrale,thann,day,Mulhouse Centrale → Thann,FR,FR,19.13
T14,mulhouse gare centrale,thann saint jacques,day,Mulhouse Centrale → Thann Saint Jacques,FR,FR,20.24
RB,mullheim im markgraflerland,freiburg breisgau hbf,day,Mullheim Im Markgraflerland → Freiburg Breisgau,CH,CH,27.6
S31,munchenbuchsee,belp,day,Munchenbuchsee → Belp,CH,CH,15.15
