route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country
IR90,lausanne,villeneuve vd,night,Lausanne → Villeneuve Vd,CH,CH
IR,geneve,geneve aeroport,night,Geneve → Geneve Aeroport,CH,CH
IR36,zurich hb,brugg ag,night,Zurich Hb → Brugg Ag,CH,CH
IR36,basel sbb,baden,night,Basel Sbb → Baden,CH,CH
IR36,zurich flughafen,mohlin,night,Zurich Flughafen → Mohlin,CH,CH
IR36,zurich oerlikon,rheinfelden,night,Zurich Oerlikon → Rheinfelden,CH,CH
IR36,zurich flughafen,rheinfelden,night,Zurich Flughafen → Rheinfelden,CH,CH
IR36,zurich oerlikon,basel sbb,night,Zurich Oerlikon → Basel Sbb,CH,CH
IR75,konstanz,baar,night,Konstanz → Baar,CH,CH
IR75,konstanz,zug,night,Konstanz → Zug,CH,CH
IR75,konstanz,zurich hb,night,Konstanz → Zurich Hb,CH,CH
IR75,luzern,frauenfeld,night,Luzern → Frauenfeld,CH,CH
IR75,luzern,weinfelden,night,Luzern → Weinfelden,CH,CH
IR75,ebikon,frauenfeld,night,Ebikon → Frauenfeld,CH,CH
IR75,luzern,zurich hb,night,Luzern → Zurich Hb,CH,CH
IR75,luzern,kreuzlingen,night,Luzern → Kreuzlingen,CH,CH
IR75,zurich hb,kreuzlingen,night,Zurich Hb → Kreuzlingen,CH,CH
IR,bern,zurich flughafen,night,Bern → Zurich Flughafen,CH,CH
IR16,brugg ag,bern,night,Brugg Ag → Bern,CH,CH
IR16,zurich hb,olten,night,Zurich Hb → Olten,CH,CH
IR16,olten,brugg ag,night,Olten → Brugg Ag,CH,CH
IR37,aarau,basel sbb,night,Aarau → Basel Sbb,CH,CH
IR26,luzern,basel sbb,night,Luzern → Basel Sbb,CH,CH
IR26,luzern,olten,night,Luzern → Olten,CH,CH
IR,luzern,lausen,night,Luzern → Lausen,CH,CH
IC,basel sbb,olten,night,Basel Sbb → Olten,CH,CH
IR35,olten,bern,night,Olten → Bern,CH,CH
IR35,zurich hb,flums,night,Zurich Hb → Flums,CH,CH
IR35,chur,siebnen wangen,night,Chur → Siebnen Wangen,CH,CH
IR35,bern,wadenswil,night,Bern → Wadenswil,CH,CH
IR35,zurich hb,walenstadt,night,Zurich Hb → Walenstadt,CH,CH
IR35,zurich hb,sargans,night,Zurich Hb → Sargans,CH,CH
IR35,chur,pfaffikon sz,night,Chur → Pfaffikon Sz,CH,CH
IR35,chur,sargans,night,Chur → Sargans,CH,CH
IR27,zofingen,basel sbb,night,Zofingen → Basel Sbb,CH,CH
IR15,lausanne,romont fr,night,Lausanne → Romont Fr,CH,CH
IR15,bern,lausanne,night,Bern → Lausanne,CH,CH
IR15,fribourg freiburg,luzern,night,Fribourg Freiburg → Luzern,CH,CH
IR15,luzern,morges,night,Luzern → Morges,CH,CH
IR15,luzern,nyon,night,Luzern → Nyon,CH,CH
IR15,lausanne,sursee,night,Lausanne → Sursee,CH,CH
IR15,luzern,bern,night,Luzern → Bern,CH,CH
IR15,sursee,fribourg freiburg,night,Sursee → Fribourg Freiburg,CH,CH
EC,leipzig hbf,basel bad bf,night,Leipzig → Basel,CH,CH
RE,zug,zurich hb,night,Zug → Zurich Hb,CH,CH
RE,thalwil,zurich hb,night,Thalwil → Zurich Hb,CH,CH
IR,luzern,baar,night,Luzern → Baar,CH,CH
RE,ebikon,zurich hb,night,Ebikon → Zurich Hb,CH,CH
PE,lugano,arth goldau,night,Lugano → Arth Goldau,CH,CH
IR35,chur,ziegelbrucke,night,Chur → Ziegelbrucke,CH,CH
IR35,lachen sz,landquart,night,Lachen Sz → Landquart,CH,CH
IR35,chur,bilten,night,Chur → Bilten,CH,CH
IR35,lachen sz,sargans,night,Lachen Sz → Sargans,CH,CH
IR35,zurich hb,uznach,night,Zurich Hb → Uznach,CH,CH
IR13,wil sg,buchs sg,night,Wil Sg → Buchs Sg,CH,CH
IR13,sargans,uzwil,night,Sargans → Uzwil,CH,CH
IR13,zurich hb,st gallen bruggen,night,Zurich Hb → St Gallen Bruggen,CH,CH
IR13,st gallen,wil sg,night,St Gallen → Wil Sg,CH,CH
IR13,zurich hb,flawil,night,Zurich Hb → Flawil,CH,CH
IR65,bern,biel bienne,night,Bern → Biel Bienne,CH,CH
RE,fribourg freiburg,bovernier,night,Fribourg Freiburg → Bovernier,CH,CH
RE,le chable vs,fribourg freiburg,night,le Chable Vs → Fribourg Freiburg,CH,CH
RE,martigny,le chable vs,night,Martigny → le Chable Vs,CH,CH
RE,nyon,geneve,night,Nyon → Geneve,CH,CH
RE,coppet,etoy,night,Coppet → Etoy,CH,CH
RE,biel bienne,sonceboz sombeval,night,Biel Bienne → Sonceboz Sombeval,CH,CH
RE,biel bienne,la chaux de fonds,night,Biel Bienne → la Chaux de Fonds,CH,CH
RE,sonceboz sombeval,la chaux de fonds,night,Sonceboz Sombeval → la Chaux de Fonds,CH,CH
RE,sonceboz sombeval,st imier,night,Sonceboz Sombeval → St Imier,CH,CH
RE,biel bienne,st imier,night,Biel Bienne → St Imier,CH,CH
RE,biel bienne,renan be,night,Biel Bienne → Renan Be,CH,CH
RE,neuchatel,la chaux de fonds,night,Neuchatel → la Chaux de Fonds,CH,CH
RE,romont fr,fribourg freiburg,night,Romont Fr → Fribourg Freiburg,CH,CH
RE,aarau,zurich hb,night,Aarau → Zurich Hb,CH,CH
